NAME                                    READY   STATUS     RESTARTS   AGE
notification-service-79fc5cd765-ssdfg   0/1     Error              2 (98s ago)   4m56s
notification-service-79fc5cd765-ssdfg   0/1     CrashLoopBackOff   2 (5s ago)    5m
rewards-service-7d46494c69-tzr86        0/1     Error              4 (81s ago)   5m8s
user-service-c58b6fd9-5ttdm             0/1     Error              4 (79s ago)   5m10s
wallet-service-68ff985b65-fqg7l         0/1     Running            3 (34s ago)   5m15s
kyc-service-7779dc9749-lzg78            0/1     Error              2 (87s ago)   5m16s
rewards-service-7d46494c69-tzr86        0/1     CrashLoopBackOff   4 (12s ago)   5m20s
user-service-c58b6fd9-5ttdm             0/1     CrashLoopBackOff   4 (10s ago)   5m20s
kyc-service-7779dc9749-lzg78            0/1     CrashLoopBackOff   2 (5s ago)    5m20s
notification-service-79fc5cd765-ssdfg   0/1     Running            3 (30s ago)   5m25s
payment-service-5b688ffc75-lxk95        0/1     Error              3 (89s ago)   5m27s
transaction-service-fd77fcd6-gcsr9      0/1     Running            4 (49s ago)   5m30s
admin-service-6b4c4896f-54xwg           0/1     Error              2 (94s ago)   5m32s
payment-service-5b688ffc75-lxk95        0/1     CrashLoopBackOff   3 (14s ago)   5m41s
admin-service-6b4c4896f-54xwg           0/1     CrashLoopBackOff   2 (9s ago)    5m41s
kyc-service-7779dc9749-lzg78            0/1     Running            3 (31s ago)   5m46s
admin-service-6b4c4896f-54xwg           0/1     Running            3 (26s ago)   5m58s
user-service-c58b6fd9-5ttdm             0/1     Terminating        4 (51s ago)   6m1s
user-service-c58b6fd9-5ttdm             0/1     Terminating        4             6m1s
transaction-service-fd77fcd6-gcsr9      0/1     Terminating        4 (81s ago)   6m2s
transaction-service-fd77fcd6-gcsr9      0/1     Terminating        4 (81s ago)   6m2s
user-service-c58b6fd9-5ttdm             0/1     Error              4             6m2s
user-service-c58b6fd9-5ttdm             0/1     Error              4             6m2s
user-service-c58b6fd9-5ttdm             0/1     Error              4             6m2s
rewards-service-7d46494c69-tzr86        0/1     Terminating        4 (54s ago)   6m2s
rewards-service-7d46494c69-tzr86        0/1     Terminating        4             6m2s
user-service-6c6fb6dfd5-w7kxd           0/1     Pending            0             0s
user-service-6c6fb6dfd5-w7kxd           0/1     Pending            0             0s
user-service-6c6fb6dfd5-w7kxd           0/1     Init:0/1           0             1s
rewards-service-7d46494c69-tzr86        0/1     Error              4             6m3s
payment-service-5b688ffc75-lxk95        0/1     Terminating        3 (36s ago)   6m3s
payment-service-5b688ffc75-lxk95        0/1     Terminating        3             6m3s
notification-service-79fc5cd765-ssdfg   0/1     Terminating        3 (67s ago)   6m2s
notification-service-79fc5cd765-ssdfg   0/1     Terminating        3 (67s ago)   6m2s
payment-service-5b688ffc75-lxk95        0/1     Error              3             6m3s
kyc-service-7779dc9749-lzg78            0/1     Terminating        3 (46s ago)   6m1s
kyc-service-7779dc9749-lzg78            0/1     Terminating        3 (46s ago)   6m1s
payment-service-5b688ffc75-lxk95        0/1     Error              3             6m3s
admin-service-6b4c4896f-54xwg           0/1     Terminating        3 (29s ago)   6m1s
payment-service-5b688ffc75-lxk95        0/1     Error              3             6m3s
wallet-service-68ff985b65-fqg7l         0/1     Terminating        3 (80s ago)   6m1s
admin-service-6b4c4896f-54xwg           0/1     Terminating        3 (29s ago)   6m1s
rewards-service-7d46494c69-tzr86        0/1     Error              4             6m3s
rewards-service-7d46494c69-tzr86        0/1     Error              4             6m3s
wallet-service-68ff985b65-fqg7l         0/1     Terminating        3 (80s ago)   6m1s
